subject,topic,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,hint,formula,explanation
Grammar,Active & Passive Voice,Past Tense,Easy,"Identify passive: ""The door was opened by him.""",He opened the door.,He opens the door.,He was opening the door.,He has opened the door.,A,Reverse the action.,Subject + V2 + Object,'Was opened' is simple past.
Grammar,Active & Passive Voice,Past Tense,Easy,"Change to passive: ""She sang a melody.""",A melody was sung by her.,A melody is sung by her.,A melody was being sung by her.,A melody had been sung by her.,A,Match tense and verb form.,Object + was/were + V3 + by + Subject,'Sang' is past; 'was sung' is passive.
Grammar,Active & Passive Voice,Past Tense,Easy,"Change to passive: ""We found the keys.""",The keys were found by us.,The keys are found by us.,The keys were being found by us.,The keys had been found by us.,A,Mind the plural subject.,Object + was/were + V3 + by + Subject,'Keys' is plural; use 'were'.
Grammar,Active & Passive Voice,Past Tense,Easy,"Change to passive: ""He sold the car.""",The car was sold by him.,The car is sold by him.,The car was being sold by him.,The car has been sold by him.,A,Maintain simple past.,Object + was/were + V3 + by + Subject,'Sold' is past; 'was sold' is passive.
Grammar,Active & Passive Voice,Past Tense,Easy,"Convert to passive: ""They broke the glass.""",The glass was broken by them.,The glass is broken by them.,The glass was being broken by them.,The glass has been broken by them.,A,Identify the action.,Object + was/were + V3 + by + Subject,Simple past active 'broke' -> 'was broken'.
Grammar,Active & Passive Voice,Past Tense,Easy,"Change to passive: ""I drew a picture.""",A picture was drawn by me.,A picture is drawn by me.,A picture was being drawn by me.,A picture has been drawn by me.,A,Verify the V3 form.,Object + was/were + V3 + by + Subject,'Drew' is past; 'drawn' is V3.
Grammar,Active & Passive Voice,Past Tense,Easy,"Change to passive: ""He bought a pen.""",A pen was bought by him.,A pen is bought by him.,A pen was being bought by him.,A pen has been bought by him.,A,Keep past tense.,Object + was/were + V3 + by + Subject,'Bought' is simple past.
Grammar,Active & Passive Voice,Past Tense,Easy,"Change to passive: ""She cleaned the desk.""",The desk was cleaned by her.,The desk is cleaned by her.,The desk was being cleaned by her.,The desk has been cleaned by her.,A,Confirm tense.,Object + was/were + V3 + by + Subject,Simple past remains 'was V3'.
Grammar,Active & Passive Voice,Future Tense,Medium,"Change to passive: ""She will write a poem.""",A poem will be written by her.,A poem would be written by her.,A poem is written by her.,A poem will have been written by her.,A,Include 'be' in future passive.,Object + will + be + V3 + by + Subject,Future simple active uses 'will V1'. Passive requires 'will be V3'.
Grammar,Active & Passive Voice,Future Tense,Medium,"Change to passive: ""They will fix the issue.""",The issue will be fixed by them.,The issue will have been fixed by them.,The issue is fixed by them.,The issue would be fixed by them.,A,Structure correctly.,Object + will + be + V3 + by + Subject,'Will fix' becomes 'will be fixed'.
Grammar,Active & Passive Voice,Future Tense,Medium,"Convert to passive: ""I will finish the task.""",The task will be finished by me.,The task will have been finished by me.,The task is finished by me.,The task would be finished by me.,A,Focus on tense markers.,Object + will + be + V3 + by + Subject,'Will finish' changes to 'will be finished'.
Grammar,Active & Passive Voice,Future Tense,Medium,"Change to passive: ""He will accept the offer.""",The offer will be accepted by him.,The offer will have been accepted by him.,The offer is accepted by him.,The offer would be accepted by him.,A,Follow standard rule.,Object + will + be + V3 + by + Subject,'Will accept' becomes 'will be accepted'.
Grammar,Active & Passive Voice,Future Tense,Medium,"Change to passive: ""We will plant trees.""",Trees will be planted by us.,Trees will have been planted by us.,Trees are planted by us.,Trees would be planted by us.,A,Remember 'be'.,Object + will + be + V3 + by + Subject,'Will plant' becomes 'will be planted'.
Grammar,Active & Passive Voice,Future Tense,Medium,"Change to passive: ""She will sing a song.""",A song will be sung by her.,A song will have been sung by her.,A song is sung by her.,A song would be sung by her.,A,Ensure proper V3.,Object + will + be + V3 + by + Subject,'Sing' -> 'sung' (V3).
Grammar,Active & Passive Voice,Future Tense,Medium,"Convert to passive: ""He will bake a cake.""",A cake will be baked by him.,A cake will have been baked by him.,A cake is baked by him.,A cake would be baked by him.,A,Check auxiliary.,Object + will + be + V3 + by + Subject,Future simple requires 'will be'.
Grammar,Active & Passive Voice,Future Tense,Medium,"Change to passive: ""They will clean the house.""",The house will be cleaned by them.,The house will have been cleaned by them.,The house is cleaned by them.,The house would be cleaned by them.,A,Consistent tense.,Object + will + be + V3 + by + Subject,Future simple structure.
Grammar,Active & Passive Voice,Future Tense,Medium,"Change to passive: ""I will send an email.""",An email will be sent by me.,An email will have been sent by me.,An email is sent by me.,An email would be sent by me.,A,Standard change.,Object + will + be + V3 + by + Subject,'Will send' becomes 'will be sent'.
Grammar,Active & Passive Voice,Future Tense,Medium,"Change to passive: ""She will paint the wall.""",The wall will be painted by her.,The wall will have been painted by her.,The wall is painted by her.,The wall would be painted by her.,A,Standard change.,Object + will + be + V3 + by + Subject,Future simple passive.
Grammar,Active & Passive Voice,Modal Verbs,Medium,"Change to passive: ""He can solve the puzzle.""",The puzzle can be solved by him.,The puzzle could be solved by him.,The puzzle is solved by him.,The puzzle must be solved by him.,A,Add 'be' with modals.,Object + Modal + be + V3 + by + Subject,"Modals like 'can', 'must', 'should' require 'be + V3' in passive."
Grammar,Active & Passive Voice,Modal Verbs,Medium,"Convert to passive: ""She must clean the room.""",The room must be cleaned by her.,The room has to be cleaned by her.,The room is cleaned by her.,The room should be cleaned by her.,A,Preserve modality.,Object + Modal + be + V3 + by + Subject,"'Must' is the modal, add 'be' and V3."
Grammar,Active & Passive Voice,Modal Verbs,Medium,"Change to passive: ""We should help the needy.""",The needy should be helped by us.,The needy must be helped by us.,The needy are helped by us.,The needy were helped by us.,A,Maintain meaning.,Object + Modal + be + V3 + by + Subject,'Should' remains 'should' in passive.
Grammar,Active & Passive Voice,Modal Verbs,Medium,"Convert to passive: ""They may win the match.""",The match may be won by them.,The match might be won by them.,The match is won by them.,The match will be won by them.,A,Keep modality.,Object + Modal + be + V3 + by + Subject,'May' + V1 becomes 'may be' + V3.
Grammar,Active & Passive Voice,Modal Verbs,Medium,"Change to passive: ""You should respect elders.""",Elders should be respected by you.,Elders must be respected by you.,Elders are respected by you.,Elders would be respected by you.,A,Standard structure.,Object + Modal + be + V3 + by + Subject,Modal + be + V3.
Grammar,Active & Passive Voice,Modal Verbs,Medium,"Convert to passive: ""He could lift the box.""",The box could be lifted by him.,The box can be lifted by him.,The box is lifted by him.,The box would be lifted by him.,A,Modal consistency.,Object + Modal + be + V3 + by + Subject,'Could' stays 'could'.
Grammar,Active & Passive Voice,Modal Verbs,Medium,"Change to passive: ""She might need help.""",Help might be needed by her.,Help may be needed by her.,Help is needed by her.,Help would be needed by her.,A,Follow the modal.,Object + Modal + be + V3 + by + Subject,'Might' becomes 'might be'.
Grammar,Active & Passive Voice,Modal Verbs,Medium,"Change to passive: ""We must finish the work.""",The work must be finished by us.,The work should be finished by us.,The work is finished by us.,The work would be finished by us.,A,Stay modal-true.,Object + Modal + be + V3 + by + Subject,Must + V1 -> Must be + V3.
Grammar,Active & Passive Voice,Modal Verbs,Medium,"Convert to passive: ""They can open the door.""",The door can be opened by them.,The door could be opened by them.,The door is opened by them.,The door will be opened by them.,A,Modal correct.,Object + Modal + be + V3 + by + Subject,'Can' remains 'can'.
Grammar,Active & Passive Voice,Modal Verbs,Medium,"Change to passive: ""You should follow the rules.""",The rules should be followed by you.,The rules must be followed by you.,The rules are followed by you.,The rules would be followed by you.,A,Follow modal.,Object + Modal + be + V3 + by + Subject,Should + V1 -> Should be + V3.
Grammar,Active & Passive Voice,Mixed Voice,Hard,"Change to passive: ""Has he completed the project?""",Has the project been completed by him?,Is the project completed by him?,Was the project completed by him?,Had the project been completed by him?,A,Interrogative with perfect.,Has/Have + Object + been + V3 + by + Subject,Present perfect interrogative uses 'has/have' at the start.
Grammar,Active & Passive Voice,Mixed Voice,Hard,"Change to passive: ""Why did you write this?""",Why was this written by you?,Why is this written by you?,Why has this been written by you?,Why were this written by you?,A,Keep interrogative word.,Wh-word + was/were + Object + V3 + by + Subject,Simple past interrogative starts with Wh-word.
Grammar,Active & Passive Voice,Mixed Voice,Hard,"Change to passive: ""Open the door.""",Let the door be opened.,The door should be opened.,Let the door is opened.,The door must be opened.,A,Imperative sentence.,Let + object + be + V3,Imperative sentences use 'Let' construction.
Grammar,Active & Passive Voice,Mixed Voice,Hard,"Change to passive: ""Who wrote this book?""",By whom was this book written?,Who was this book written by?,Who is this book written by?,By whom is this book written?,A,Whom for subject 'who'.,By whom + was/were + Subject + V3,'Who' changes to 'By whom' in passive.
Grammar,Active & Passive Voice,Mixed Voice,Hard,"Change to passive: ""Did they see the movie?""",Was the movie seen by them?,Is the movie seen by them?,Has the movie been seen by them?,Were the movie seen by them?,A,Past tense interrogative.,Was/Were + Object + V3 + by + Subject,Simple past question starts with was/were.
Grammar,Active & Passive Voice,Mixed Voice,Hard,"Change to passive: ""Please help me.""",You are requested to help me.,Help should be done to me.,I am requested to help.,Let me be helped.,A,Request structure.,You are requested to + V1,'Please' transforms into 'You are requested to'.
Grammar,Active & Passive Voice,Mixed Voice,Hard,"Change to passive: ""Don't touch the wire.""",You are warned not to touch the wire.,Let the wire not be touched.,The wire should not be touched.,Both A and B,D,Negative imperative.,Varies based on context,Both 'You are warned' and 'Let' are grammatically valid for negatives.
Grammar,Active & Passive Voice,Mixed Voice,Hard,"Change to passive: ""Have they informed the police?""",Have the police been informed by them?,Has the police been informed by them?,Were the police informed by them?,Is the police informed by them?,A,Perfect tense.,Has/Have + Object + been + V3 + by + Subject,'Police' is plural; use 'have'.
Grammar,Active & Passive Voice,Mixed Voice,Hard,"Change to passive: ""Shut the windows.""",Let the windows be shut.,The windows be shut.,Let the windows shut.,The windows should be shut.,A,Standard imperative.,Let + object + be + V3,'Shut' is the same in all three forms.
Grammar,Active & Passive Voice,Mixed Voice,Hard,"Change to passive: ""When will you return the book?""",When will the book be returned by you?,When would the book be returned by you?,When is the book returned by you?,When has the book been returned by you?,A,Interrogative future.,Wh-word + will + object + be + V3 + by + Subject,'When' stays; future simple interrogative.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Generous,Selfish,Kind,Giving,Open,A,Think of someone who does not like to share.,,Generous implies willingness to give; selfish is the direct opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Bold,Courageous,Timid,Fearless,Daring,B,Think of someone who is shy or lacks confidence.,,Bold implies courage; timid implies a lack of courage.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Harsh,Strict,Gentle,Severe,Rough,B,Think of someone who is soft and kind.,,Harsh implies severity; gentle is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Rapid,Fast,Swift,Slow,Quick,C,Think of something that is not moving fast.,,Rapid means very fast; slow is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Depart,Leave,Exit,Arrive,Go,C,Think of the action of reaching a destination.,,Depart means to leave; arrive is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Bright,Dim,Shiny,Radiant,Clear,A,Think of a light that is not shining strongly.,,Bright means emitting light; dim means lacking brightness.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Simple,Easy,Hard,Plain,Clear,B,Think of something that is complex.,,Simple means easy to understand; hard is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Often,Frequently,Rarely,Usually,Regularly,B,Think of something that does not happen much.,,Often means frequently; rarely means not often.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Construct,Build,Create,Destroy,Form,C,Think of the opposite of putting something together.,,Construct means to build; destroy is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Polite,Rude,Courteous,Kind,Respectful,A,Think of someone with bad manners.,,Polite means having good manners; rude is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Victory,Triumph,Success,Defeat,Win,C,Think of the result of losing a game.,,Victory means winning; defeat is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Gloomy,Cheerful,Dark,Sad,Depressing,A,Think of a feeling of happiness.,,Gloomy means dark or sad; cheerful is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Artificial,Fake,Natural,Synthetic,Man-made,B,Think of something that was not made by humans.,,Artificial means man-made; natural is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Accept,Receive,Reject,Take,Get,B,Think of refusing something.,,Accept means to receive; reject is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Blunt,Dull,Sharp,Rounded,Flat,B,Think of something that cuts easily.,,Blunt means not having a sharp edge; sharp is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Shallow,Deep,Superficial,Surface,Small,A,Think of something that has great depth.,,Shallow means not deep; deep is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Ancient,Old,Antique,Modern,Aged,C,Think of something belonging to the current time.,,Ancient means very old; modern is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Careful,Cautious,Careless,Alert,Attentive,B,Think of someone who does not pay attention.,,Careful means paying attention; careless is the opposite.
Verbal Ability,Antonyms,Basic Antonyms,Easy,Identify the antonym of the word: Wisdom,Knowledge,Insight,Folly,Judgment,C,Think of the opposite of being wise.,,Wisdom is the quality of being wise; folly is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Scarcity,Shortage,Abundance,Lack,Dearth,B,Think of having an oversupply.,,Scarcity means a shortage; abundance is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Mitigate,Aggravate,Alleviate,Reduce,Lessen,A,Think of making a problem worse.,,Mitigate means to make less severe; aggravate is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Deficit,Loss,Surplus,Shortfall,Debt,B,Think of having more than enough.,,Deficit means not enough; surplus is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Diligent,Industrious,Lazy,Hardworking,Active,B,Think of someone who does not work hard.,,Diligent means hardworking; lazy is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Prosperity,Affluence,Wealth,Poverty,Success,C,Think of a state of having no money.,,Prosperity means wealth; poverty is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Expedite,Delay,Accelerate,Hasten,Speed up,A,Think of holding something back or slowing it down.,,Expedite means to make faster; delay is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Transparent,Clear,Opaque,Open,Visible,B,Think of something that light cannot pass through.,,Transparent means clear; opaque means not able to be seen through.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Conservative,Traditional,Radical,Cautious,Moderate,B,Think of someone who wants extreme change.,,Conservative means resistant to change; radical means wanting drastic change.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Ameliorate,Improve,Worsen,Enhance,Better,B,Think of making something worse.,,Ameliorate means to improve; worsen is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Substantial,Significant,Insignificant,Large,Considerable,B,Think of something that does not matter much.,,Substantial means large or significant; insignificant is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Benevolent,Kind,Malicious,Helpful,Charitable,B,Think of someone who intends to do harm.,,Benevolent means well-meaning; malicious means intending to do harm.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Affirm,Confirm,Deny,Assert,Maintain,B,Think of saying that something is false.,,Affirm means to confirm; deny is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Frugal,Thrifty,Extravagant,Economical,Saving,B,Think of someone who spends too much money.,,Frugal means thrifty; extravagant is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Obstacle,Barrier,Aid,Hinderance,Block,B,Think of something that helps progress.,,Obstacle is something in the way; aid is something that helps.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Candid,Frank,Deceptive,Honest,Open,B,Think of someone who is not telling the truth.,,Candid means honest; deceptive is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Acquire,Obtain,Lose,Gain,Procure,B,Think of the opposite of getting something.,,Acquire means to get; lose is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Vulnerable,Exposed,Protected,Weak,Defenseless,B,Think of being safe from harm.,,Vulnerable means at risk; protected is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Mandatory,Compulsory,Optional,Required,Binding,B,Think of something that you don't have to do.,,Mandatory is required; optional is not.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Complacent,Satisfied,Dissatisfied,Self-assured,Content,B,Think of someone who is not satisfied.,,Complacent means overly satisfied; dissatisfied is the opposite.
Verbal Ability,Antonyms,Business Vocabulary,Medium,Identify the antonym of the word: Integrate,Combine,Separate,Merge,Unite,B,Think of splitting things apart.,,Integrate means to combine; separate is the opposite.
Verbal Ability,Antonyms,Technology Vocabulary,Hard,Identify the antonym of the word: Virtual,Actual,Simulated,Digital,Theoretical,A,Think of something that is physically real.,,Virtual means simulated; actual is the opposite.
Verbal Ability,Antonyms,Technology Vocabulary,Hard,Identify the antonym of the word: Encrypt,Encode,Decrypt,Obfuscate,Secure,B,Think of turning code back into readable text.,,Encrypt means to code; decrypt is the opposite.
Verbal Ability,Antonyms,Technology Vocabulary,Hard,Identify the antonym of the word: Static,Constant,Dynamic,Fixed,Stationary,B,Think of something that changes frequently.,,Static means not changing; dynamic means changing.
Verbal Ability,Antonyms,Technology Vocabulary,Hard,Identify the antonym of the word: Obsolete,Outdated,Contemporary,Ancient,Expired,B,Think of something that is currently in use.,,Obsolete means no longer used; contemporary means modern/in use.
Verbal Ability,Antonyms,Technology Vocabulary,Hard,Identify the antonym of the word: Centralized,Distributed,Localized,Unified,Concentrated,A,Think of something spread across many locations.,,Centralized means in one spot; distributed means spread out.
Verbal Ability,Antonyms,Technology Vocabulary,Hard,Identify the antonym of the word: Latent,Hidden,Apparent,Dormant,Inactive,B,Think of something clearly visible or present.,,Latent means hidden/inactive; apparent means visible/active.
Verbal Ability,Antonyms,Technology Vocabulary,Hard,Identify the antonym of the word: Fragile,Sturdy,Brittle,Weak,Delicate,A,Think of something that is not easily broken.,,Fragile means easily broken; sturdy is the opposite.
Verbal Ability,Antonyms,Technology Vocabulary,Hard,Identify the antonym of the word: Synchronous,Concurrent,Asynchronous,Simultaneous,Timed,B,Think of things happening at different times.,,Synchronous means at the same time; asynchronous means not at the same time.
Verbal Ability,Antonyms,Technology Vocabulary,Hard,Identify the antonym of the word: Bandwidth,Capacity,Restriction,Throughput,Range,B,Think of a limit on data flow.,,Bandwidth is the capacity; restriction is the opposite.
Verbal Ability,Antonyms,Technology Vocabulary,Hard,Identify the antonym of the word: Automate,Mechanize,Manual,Systematize,Program,B,Think of doing something by hand.,,Automate means using machines; manual means by hand.
Verbal Ability,Cloze Test,Grammar Cloze,Easy,She has been ____ here since 2020. (A) work (B) works (C) working (D) worked,A,B,C,D,C,Identify the tense structure: 'has been + ?'.,Present Perfect Continuous.,The structure 'has been' followed by a verb requires the present participle '-ing' form.
Verbal Ability,Cloze Test,Grammar Cloze,Easy,"If it rains, we ____ the picnic. (A) cancel (B) will cancel (C) cancelled (D) would cancel",A,B,C,D,B,Identify the structure of a first conditional sentence.,"First Conditional Rule (If + Present, Future).","In a conditional sentence starting with 'If + Simple Present', the main clause uses the future tense."
Verbal Ability,Cloze Test,Grammar Cloze,Easy,Neither the teacher nor the students ____ present. (A) was (B) were (C) is (D) are,A,B,C,D,B,Apply the rule of proximity in subject-verb agreement.,Subject-Verb Agreement (Proximity Rule).,"When using 'neither... nor', the verb agrees with the closer subject, which is 'students' (plural)."
Verbal Ability,Cloze Test,Grammar Cloze,Easy,He is the ____ boy in the class. (A) tall (B) taller (C) tallest (D) more tall,A,B,C,D,C,Identify the degree of comparison for a group.,Superlative Degree.,The definite article 'the' before the blank indicates that the superlative degree is required.
Verbal Ability,Cloze Test,Grammar Cloze,Easy,She ____ to the market every morning. (A) go (B) goes (C) gone (D) going,A,B,C,D,B,Identify the frequency keyword 'every morning'.,Simple Present Tense.,"'Every morning' implies a habitual action, requiring the third-person singular present tense."
Verbal Ability,Cloze Test,Grammar Cloze,Easy,They ____ a new house last month. (A) buy (B) buys (C) bought (D) buying,A,B,C,D,C,Identify the tense based on 'last month'.,Simple Past Tense.,"'Last month' indicates a completed action, requiring the past tense of 'buy'."
Verbal Ability,Cloze Test,Grammar Cloze,Easy,You ____ finish your homework before playing. (A) must (B) can (C) may (D) might,A,B,C,D,A,Identify the necessity/obligation.,Modal Verbs (Obligation).,'Must' expresses a requirement or strong necessity in this context.
Verbal Ability,Cloze Test,Grammar Cloze,Easy,____ you ever been to Paris? (A) Has (B) Have (C) Are (D) Do,A,B,C,D,B,Identify the subject-verb agreement with 'you'.,Present Perfect Tense.,'Have' is the correct auxiliary verb for the second-person pronoun 'you' in this tense.
Verbal Ability,Cloze Test,Grammar Cloze,Easy,The book ____ on the table is mine. (A) lie (B) lying (C) lays (D) lain,A,B,C,D,B,Identify the participle phrase modifying 'book'.,Participle Phrase.,'Lying' is the present participle needed to describe the current state/location of the book.
Verbal Ability,Cloze Test,Grammar Cloze,Easy,She speaks English . (A) fluent (B) fluently (C) more fluent (D) most fluent,A,B,C,D,B,Identify the part of speech needed to modify a verb.,Adverb usage.,"An adverb is needed to modify the verb 'speaks', thus 'fluently' is correct."
Verbal Ability,Cloze Test,Grammar Cloze,Easy, of the two students won the prize. (A) Every (B) Each (C) All (D) Any,A,B,C,D,B,Identify the quantifier for two specific individuals.,Quantifiers.,"'Each' is used to refer to individuals in a small, defined group."
Verbal Ability,Cloze Test,Grammar Cloze,Easy,He is ____ honest man. (A) a (B) an (C) the (D) X,A,B,C,D,B,Identify the correct article based on vowel sound.,Article usage.,"'Honest' starts with a vowel sound, so the article 'an' is required."
Verbal Ability,Cloze Test,Grammar Cloze,Easy,They were ____ by the news. (A) shock (B) shocks (C) shocked (D) shocking,A,B,C,D,C,Identify the correct passive voice form.,Passive Voice / Participles.,The past participle 'shocked' is required to describe the state of the subject.
Verbal Ability,Cloze Test,Grammar Cloze,Easy,This is the ____ movie I have ever seen. (A) good (B) better (C) best (D) well,A,B,C,D,C,Identify the superlative form.,Superlative Degree.,The context 'I have ever seen' suggests a superlative comparison.
Verbal Ability,Cloze Test,Grammar Cloze,Easy,She ____ her keys yesterday. (A) lose (B) loses (C) lost (D) loosing,A,B,C,D,C,Identify the past tense of 'lose'.,Simple Past Tense.,'Lost' is the correct past tense form for 'lose'.
Verbal Ability,Cloze Test,Grammar Cloze,Easy,They ____ football when it started raining. (A) play (B) were playing (C) played (D) are playing,A,B,C,D,B,Identify the past continuous action interrupted by another.,Past Continuous Tense.,The interruption 'started raining' suggests an ongoing action ('were playing') was in progress.
Verbal Ability,Cloze Test,Grammar Cloze,Easy,The flowers ____ by the gardener every day. (A) water (B) are watered (C) were watered (D) is watered,A,B,C,D,B,Identify the passive voice for a habitual action.,Passive Voice (Present Simple).,The habitual action 'every day' requires present simple passive 'are watered'.
Verbal Ability,Cloze Test,Grammar Cloze,Easy,____ is a good habit. (A) Read (B) Reads (C) Reading (D) Readed,A,B,C,D,C,Identify the gerund used as a subject.,Gerunds.,"A gerund ('Reading') functions as a noun, making it the correct subject."
Verbal Ability,Cloze Test,Grammar Cloze,Easy,She is ____ to dance. (A) learn (B) learning (C) learnt (D) learns,A,B,C,D,B,Identify the continuous action.,Present Continuous.,'Is' as an auxiliary verb requires the present participle 'learning'.
Verbal Ability,Cloze Test,Vocabulary Cloze,Medium,The company's new strategy was ____ to increase efficiency. (A) designed (B) painted (C) ignored (D) hidden,A,B,C,D,A,Identify the word that fits the context of business strategy.,Contextual Vocabulary.,'Designed' is the only logical choice for describing the purpose of a strategy.
Verbal Ability,Cloze Test,Vocabulary Cloze,Medium,He showed ____ courage during the crisis. (A) immense (B) little (C) small (D) brief,A,B,C,D,A,Identify the adjective that pairs with courage in a crisis.,Collocation.,'Immense' correctly describes a high level of courage.
Verbal Ability,Cloze Test,Vocabulary Cloze,Medium,The data was ____ to support the conclusion. (A) insufficient (B) enough (C) plenty (D) abundant,A,B,C,D,A,Identify the word that describes a limitation.,Contextual meaning.,"'Insufficient' means not enough, which fits the context of needing more support."
